IDTime;ReadableTime;High;Low;Close;BarType;HAType;BBSignal;BBBreakoutSignal;StochMain;StochSignal;MarketMov;LabelStrategy
1272844800;2010.05.03 00:00;1.01812;1.01565;1.0177;4;1;0;0;76.88943999999999;60.07388;0;0
1272859200;2010.05.03 04:00;1.01794;1.01522;1.01528;4;4;0;0;87.14491;75.15431;0;0
1272873600;2010.05.03 08:00;1.01852;1.01388;1.01623;4;4;0;0;94.73066;86.255;0;0
1272888000;2010.05.03 12:00;1.01623;1.0113;1.01326;2;4;1;0;89.78688;90.55415000000001;0;2
1272902400;2010.05.03 16:00;1.01622;1.0116;1.01209;4;4;0;0;83.26255999999999;89.26003;0;0
1272916800;2010.05.03 20:00;1.01269;1.01;1.0103;4;2;0;0;74.26873000000001;82.43939;0;0
1272931200;2010.05.04 00:00;1.01173;1.01029;1.01166;4;4;0;0;64.20998;73.91376;0;0
1272945600;2010.05.04 04:00;1.0144;1.01161;1.0144;1;4;0;0;59.60396;66.02755999999999;0;0
1272960000;2010.05.04 08:00;1.0161;1.01169;1.01581;4;1;0;0;54.76116;59.52503;0;0
1272974400;2010.05.04 12:00;1.02364;1.01494;1.02227;1;1;2;0;60.46174;58.27562;0;0
1272988800;2010.05.04 16:00;1.02476;1.01982;1.02302;4;1;2;0;68.91200000000001;61.3783;0;0
1273003200;2010.05.04 20:00;1.02559;1.02284;1.02489;4;1;0;0;81.53497;70.30289999999999;0;0
1273017600;2010.05.05 00:00;1.0251;1.02313;1.02477;4;1;0;0;92.1332;80.86006;0;0
1273032000;2010.05.05 04:00;1.02675;1.02373;1.0264;4;1;0;0;97.33919;90.33578;0;0
1273046400;2010.05.05 08:00;1.02817;1.0236;1.02433;4;4;2;0;97.45556000000001;95.64265;0;0
1273060800;2010.05.05 12:00;1.0353;1.02376;1.03193;1;1;2;0;97.67935;97.49137;0;0
1273075200;2010.05.05 16:00;1.03234;1.02522;1.02837;2;1;2;0;94.20246;96.44579;0;2
1273089600;2010.05.05 20:00;1.03232;1.02834;1.03072;4;4;0;0;93.08907000000001;94.99029;0;0
1273104000;2010.05.06 00:00;1.03148;1.02837;1.03046;4;4;0;0;91.32387;92.87179999999999;0;0
1273118400;2010.05.06 04:00;1.03223;1.02807;1.03057;4;4;1;0;89.08454999999999;91.16583;0;0
1273132800;2010.05.06 08:00;1.04059;1.03058;1.03427;1;1;2;0;90.78006000000001;90.39615999999999;0;0
1273147200;2010.05.06 12:00;1.03716;1.03043;1.03328;4;4;2;0;88.08599;89.31686000000001;0;2
1273161600;2010.05.06 16:00;1.04861;1.03079;1.0479;3;1;2;0;93.56283999999999;90.80963;0;0
1273176000;2010.05.06 20:00;1.07347;1.04714;1.05231;1;1;2;0;95.75556;92.46813;0;0
1273190400;2010.05.07 00:00;1.05571;1.04848;1.05024;4;1;2;0;95.76141;95.0266;0;0
1273204800;2010.05.07 04:00;1.05299;1.04416;1.05125;4;4;0;0;96.54680999999999;96.02126;0;0
1273219200;2010.05.07 08:00;1.05694;1.04947;1.04966;4;1;2;0;94.84072999999999;95.71632;0;2
1273233600;2010.05.07 12:00;1.04967;1.03376;1.04253;2;2;1;0;89.12876;93.50543;0;2
1273248000;2010.05.07 16:00;1.05559;1.03861;1.04165;4;2;0;0;81.44374000000001;88.47108;0;0
1273262400;2010.05.07 20:00;1.0468;1.04084;1.04381;4;2;0;0;73.76653;81.44634000000001;0;0
1273449600;2010.05.10 00:00;1.03918;1.03036;1.03077;4;2;1;0;58.29935;71.16987;0;0
1273464000;2010.05.10 04:00;1.03111;1.02712;1.02721;2;2;1;0;40.33255;57.46614;0;0
1273478400;2010.05.10 08:00;1.02954;1.02192;1.0239;2;2;0;0;24.4643;41.03206;0;0
1273492800;2010.05.10 12:00;1.02714;1.0209;1.02662;1;2;0;0;16.99378;27.26354;0;0
1273507200;2010.05.10 16:00;1.02925;1.02376;1.02562;4;4;0;0;10.06184;17.17331;0;0
1273521600;2010.05.10 20:00;1.02672;1.02299;1.02376;4;4;0;0;2.85255;9.969390000000001;0;0
1273536000;2010.05.11 00:00;1.02602;1.02135;1.02209;4;2;1;0;2.84926;5.25455;0;0
1273550400;2010.05.11 04:00;1.02789;1.02189;1.02779;1;4;1;0;6.65136;4.11772;0;1
1273564800;2010.05.11 08:00;1.0287;1.02146;1.02502;2;4;2;0;8.96679;6.1558;0;0
1273579200;2010.05.11 12:00;1.02705;1.02108;1.02249;2;4;2;0;8.45857;8.02558;0;2
1273593600;2010.05.11 16:00;1.02307;1.01484;1.01598;2;2;1;0;8.09502;8.5068;0;0
1273608000;2010.05.11 20:00;1.02252;1.01528;1.02014;1;2;1;0;13.53376;10.02912;0;1
1273622400;2010.05.12 00:00;1.02217;1.01851;1.0198;4;4;0;0;19.4289;13.68589;0;0
1273636800;2010.05.12 04:00;1.02455;1.01881;1.02069;4;4;2;0;20.63369;17.86545;0;0
1273651200;2010.05.12 08:00;1.02283;1.01568;1.01581;2;4;2;0;19.27835;19.78031;0;0
1273665600;2010.05.12 12:00;1.01772;1.01528;1.01605;4;2;2;0;18.16011;19.35739;0;0
1273680000;2010.05.12 16:00;1.02145;1.01536;1.01954;1;4;0;0;23.34314;20.26053;0;0
1273694400;2010.05.12 20:00;1.02073;1.01838;1.01898;4;4;0;0;22.7861;21.42978;0;0
1273708800;2010.05.13 00:00;1.0192;1.01755;1.01756;4;4;0;0;21.37021;22.49982;0;0
1273723200;2010.05.13 04:00;1.01795;1.01367;1.01368;2;2;0;0;15.10877;19.75503;0;0
1273737600;2010.05.13 08:00;1.01569;1.01095;1.01486;4;2;1;0;18.69315;18.39071;0;1
1273752000;2010.05.13 12:00;1.01903;1.01343;1.01866;1;4;1;0;30.2863;21.36274;0;1
1273766400;2010.05.13 16:00;1.01976;1.01257;1.0149;2;4;0;0;27.99909;25.65951;0;0
1273780800;2010.05.13 20:00;1.02253;1.01448;1.02169;1;1;2;0;40.11233;32.79924;0;0
1273795200;2010.05.14 00:00;1.02242;1.02107;1.02195;4;1;2;0;53.38448;40.49863;0;0
1273809600;2010.05.14 04:00;1.02318;1.02109;1.02257;4;1;0;0;70.45455;54.65045;0;0
1273824000;2010.05.14 08:00;1.0269;1.02162;1.02654;1;1;0;0;84.97598000000001;69.605;0;0
1273838400;2010.05.14 12:00;1.0334;1.02405;1.03249;1;1;2;0;90.93187;82.1208;0;0
1273852800;2010.05.14 16:00;1.03765;1.03109;1.03294;4;1;2;0;100;91.96929;0;0
1273867200;2010.05.14 20:00;1.03549;1.03108;1.03549;1;1;2;0;100;96.97729;0;0
1274054400;2010.05.17 00:00;1.03813;1.03409;1.03811;1;1;0;0;100;100;0;0
1274068800;2010.05.17 04:00;1.04375;1.03797;1.04058;4;1;2;0;100;100;0;2
1274083200;2010.05.17 08:00;1.04093;1.03382;1.03714;2;4;2;0;97.28019999999999;99.0934;0;2
1274097600;2010.05.17 12:00;1.038;1.03179;1.03553;4;4;1;0;93.27791000000001;96.8527;0;0
1274112000;2010.05.17 16:00;1.04296;1.033;1.03759;4;4;1;0;90.81967;93.79259;0;0
1274126400;2010.05.17 20:00;1.0379;1.0307;1.03184;2;2;1;0;82.93095;89.00951000000001;0;0
1274140800;2010.05.18 00:00;1.03611;1.03168;1.03223;4;2;1;0;72.5262;82.09227;0;0
1274155200;2010.05.18 04:00;1.0349;1.03077;1.03101;4;2;0;0;56.59991;70.68568999999999;0;0
1274169600;2010.05.18 08:00;1.03313;1.02579;1.03027;4;2;1;0;43.24086;57.45566;0;0
1274184000;2010.05.18 12:00;1.03206;1.02455;1.02508;2;2;1;0;27.18918;42.34332;0;0
1274198400;2010.05.18 16:00;1.03829;1.02492;1.03796;1;4;1;0;25.21043;31.88016;0;1
1274212800;2010.05.18 20:00;1.04109;1.03551;1.0408;1;1;0;0;38.4789;30.29283;0;0
1274227200;2010.05.19 00:00;1.04468;1.03951;1.04236;4;1;0;0;54.69719;39.46217;0;0
1274241600;2010.05.19 04:00;1.04292;1.03849;1.0401;4;1;0;0;66.49198;53.22269;0;0
